HKG, SIN, SEA, NRT, KIX

3232235777
128.0.0.0
1745879040 1048576
104.16.214.64 	 colo=HKG
104.16.202.128 	 colo=HKG
104.16.214.192 	 colo=HKG
104.16.214.0 	 colo=HKG
104.16.215.0 	 colo=HKG
104.16.215.64 	 colo=HKG
104.16.201.192 	 colo=HKG
104.16.204.192 	 colo=HKG
104.16.190.128 	 
104.16.216.0 	 colo=HKG
104.16.216.192 	 colo=HKG
104.16.217.64 	 colo=HKG
104.16.217.128 	 colo=HKG
104.16.215.128 	 colo=HKG
104.16.213.0 	 colo=HKG
104.16.203.64 	 colo=HKG
104.16.217.0 	 colo=HKG
104.16.217.192 	 colo=HKG
104.16.218.0 	 colo=HKG
104.16.205.128 	 colo=HKG
104.16.218.128 	 colo=HKG
104.16.219.192 	 colo=HKG
