SJC, LAX, LHR, KIX, DFW

3232235777
128.0.0.0
2889875456 524288
172.64.134.128 	 colo=LAX
172.64.134.64 	 colo=SJC
172.64.135.64 	 colo=SJC
172.64.135.0 	 colo=LAX
172.64.135.128 	 colo=LAX
172.64.135.192 	 colo=LAX
172.64.136.0 	 colo=LAX
172.64.136.64 	 colo=SJC
172.64.136.128 	 colo=SJC
172.64.136.192 	 colo=SJC
172.64.137.0 	 colo=LAX
172.64.137.64 	 colo=SJC
172.64.138.0 	 colo=SJC
172.64.137.192 	 colo=SJC
172.64.137.128 	 colo=SJC
172.64.138.64 	 colo=LAX
172.64.138.192 	 colo=LAX
172.64.139.0 	 colo=SJC
172.64.138.128 	 colo=LAX
172.64.139.64 	 colo=LAX
172.64.139.128 	 colo=SJC
172.64.140.128 	 colo=SJC
172.64.140.0 	 colo=LAX
172.64.140.64 	 colo=LAX
172.64.139.192 	 colo=LAX
172.64.141.192 	 colo=SJC
172.64.141.128 	 colo=LAX
172.64.140.192 	 colo=SJC
172.64.141.0 	 colo=SJC
172.64.142.0 	 colo=SJC
172.64.143.0 	 colo=LAX
172.64.142.192 	 colo=LAX
172.64.141.64 	 colo=SJC
172.64.143.64 	 colo=SJC
172.64.142.64 	 colo=SJC
172.64.143.128 	 colo=LAX
172.64.142.128 	 colo=LAX
172.64.143.192 	 colo=SJC
172.64.144.0 	 colo=DFW
172.64.144.128 	 colo=DFW
172.64.144.64 	 colo=DFW
172.64.144.192 	 colo=DFW
172.64.145.0 	 colo=DFW
172.64.145.192 	 colo=DFW
172.64.145.128 	 colo=DFW
172.64.146.0 	 colo=DFW
172.64.145.64 	 colo=DFW
172.64.146.64 	 colo=DFW
172.64.146.128 	 colo=DFW
172.64.147.0 	 colo=DFW
172.64.146.192 	 colo=DFW
172.64.147.64 	 colo=DFW
172.64.147.128 	 colo=DFW
172.64.147.192 	 colo=DFW
172.64.148.64 	 colo=DFW
172.64.148.128 	 colo=DFW
172.64.148.0 	 colo=DFW
172.64.149.128 	 colo=DFW
172.64.149.64 	 colo=DFW
172.64.149.192 	 colo=DFW
172.64.149.0 	 colo=DFW
172.64.148.192 	 colo=DFW
172.64.150.128 	 colo=DFW
172.64.150.192 	 colo=DFW
172.64.151.0 	 colo=DFW
172.64.150.0 	 colo=DFW
172.64.151.192 	 colo=DFW
